d_0011,infusion drotrecogin alfa activated
d_3327,closed endoscopic biopsy lung
d_3328,open biopsy lung
d_3329,diagnostic procedures lung bronchus
d_3330,degenerative diseases basal ganglia
d_3331,essential specified forms tremor
d_3332,myoclonus
d_3336,genetic torsion dystonia
d_33372,acute dystonia due drugs
d_33385,subacute dyskinesia due drugs
d_3339,surgical collapse lung
d_33390,unspecified extrapyramidal disease abnormal movement disorde
d_33392,neuroleptic malignant syndrome
d_33394,restless legs syndrome rls
d_33399,extrapyramidal diseases abnormal movement disorders
d_3341,hereditary spastic paraplegia
d_3343,closure laceration lung
d_3348,repair plastic operations bronchus
d_33520,amyotrophic lateral sclerosis
d_3360,syringomyelia syringobulbia
d_3361,vascular myelopathies
d_3363,myelopathy diseases elsewhere
d_3368,myelopathy
d_3369,unspecified disease spinal cord
d_3371,peripheral autonomic neuropathy disorders elsewher
d_33720,reflex sympathetic dystrophy unspecified
d_33722,reflex sympathetic dystrophy lower limb
d_3373,autonomic dysreflexia
d_3378,endoscopic removal bronchial devices substances
d_3379,unspecified disorder autonomic nervous system
d_33811,acute pain due trauma
d_33818,acute postoperative pain
d_33819,acute pain
d_33821,chronic pain due trauma
d_33828,chronic postoperative pain
d_33829,chronic pain
d_3383,neoplasm related pain acute chronic
d_3384,chronic pain syndrome
d_3391,bronchial dilation
d_340,multiple sclerosis
d_3401,incision chest wall
d_3402,exploratory thoracotomy
d_3403,reopening recent thoracotomy site
d_3404,insertion intercostal catheter drainage
d_3406,thoracoscopic drainage pleural cavity
d_3409,incision pleura
d_341,incision mediastinum
d_3418,demyelinating diseases central nervous system
d_3419,demyelinating disease central nervous system unspecified
d_3420,thoracoscopic pleural biopsy
d_34200,flaccid hemiplegia hemiparesis affecting unspecified side
d_34202,flaccid hemiplegia hemiparesis affecting nondominant side
d_3421,transpleural thoracoscopy
d_3422,mediastinoscopy
d_3424,pleural biopsy
d_3425,closed percutaneous needle biopsy mediastinum
d_3427,biopsy diaphragm
d_34280,specified hemiplegia hemiparesis affecting unspecified
d_34281,specified hemiplegia hemiparesis affecting dominant si
d_34282,specified hemiplegia hemiparesis affecting nondominant
d_34290,hemiplegia unspecified affecting unspecified side
d_34291,hemiplegia unspecified affecting dominant side
d_34292,hemiplegia unspecified affecting nondominant side
d_343,excision destruction lesion tissue mediastinum
d_3432,congenital quadriplegia
d_3439,infantile cerebral palsy unspecified
d_344,excision destruction lesion chest wall
d_34400,quadriplegia unspecified
d_34401,quadriplegia complete
d_34404,quadriplegia incomplete
d_34409,quadriplegia
d_3441,paraplegia
d_34430,monoplegia lower limb affecting unspecified side
d_34460,cauda equina syndrome mention neurogenic bladder
d_34461,cauda equina syndrome neurogenic bladder
d_34481,locked-in state
d_34489,specified paralytic syndrome
d_3449,paralysis unspecified
d_34500,generalized nonconvulsive epilepsy mention intractab
d_34501,generalized nonconvulsive epilepsy intractable epilepsy
d_3451,decortication lung
d_34510,generalized convulsive epilepsy mention intractable
d_34511,generalized convulsive epilepsy intractable epilepsy
d_3452,thoracoscopic decortication lung
d_3453,grand mal status
d_34551,localization-related focal partial epilepsy epileptic sy
d_34570,epilepsia partialis continua mention intractable epi
d_34571,epilepsia partialis continua intractable epilepsy
d_34580,forms epilepsy recurrent seizures mention
d_34581,forms epilepsy recurrent seizures intractable
d_3459,excision pleura
d_34590,epilepsy unspecified mention intractable epilepsy
d_34591,epilepsy unspecified intractable epilepsy
d_346,scarification pleura
d_34600,migraine aura mention intractable migraine
d_34680,forms migraine mention intractable migraine
d_34690,migraine unspecified mention intractable migraine
d_3472,closure thoracostomy
d_3473,closure fistula thorax
d_3479,repair chest wall
d_3480,cerebral cysts
d_3481,excision lesion tissue diaphragm
d_3481,anoxic brain damage
d_3482,benign intracranial hypertension
d_3482,suture laceration diaphragm
d_34830,encephalopathy unspecified
d_34831,metabolic encephalopathy
d_34839,encephalopathy
d_3484,compression brain
d_3484,repair diaphragm
d_3485,cerebral edema
d_34889,conditions brain
d_3489,unspecified condition brain
d_3490,reaction spinal lumbar puncture
d_3491,thoracentesis
d_3492,disorders meninges elsewhere
d_3492,injection thoracic cavity
d_34931,accidental puncture laceration dura during procedure
d_34981,cerebrospinal fluid rhinorrhea
d_34982,toxic encephalopathy
d_3499,operations thorax
d_3501,trigeminal neuralgia
d_3505,endovascular replacement aortic valve
d_3510,bells palsy
d_3511,open heart valvuloplasty aortic valve replacement
d_3512,open heart valvuloplasty mitral valve replacement
d_3514,open heart valvuloplasty tricuspid valve replacement
d_3518,facial nerve disorders
d_3521,open replacement aortic valve tissue graft
d_3522,open replacement aortic valve
d_3523,open replacement mitral valve tissue graft
d_3524,open replacement mitral valve
d_3525,open replacement pulmonary valve tissue graft
d_3527,open replacement tricuspid valve tissue graft
d_3530,brachial plexus lesions
d_3533,annuloplasty
d_3536,phantom limb syndrome
d_3539,operations structures adjacent valves heart
d_3540,carpal tunnel syndrome
d_3542,lesion ulnar nerve
d_3548,mononeuritis upper limb
d_3549,mononeuritis upper limb unspecified
d_3551,repair atrial septal defect prosthesis open technique
d_3551,meralgia paresthetica
d_3553,lesion lateral popliteal nerve
d_3558,mononeuritis lower limb unspecified
d_3559,mononeuritis unspecified site
d_3561,repair atrial septal defect tissue graft
d_3561,peroneal muscular atrophy
d_3568,specified idiopathic peripheral neuropathy
d_3569,unspecified hereditary idiopathic peripheral neuropathy
d_3570,acute infective polyneuritis
d_3571,unspecified repair atrial septal defect
d_3572,polyneuropathy diabetes
d_3572,unspecified repair ventricular septal defect
d_3575,alcoholic polyneuropathy
d_3576,polyneuropathy due drugs
d_35781,chronic inflammatory demyelinating polyneuritis
d_35782,critical illness polyneuropathy
d_35801,myasthenia gravis acute exacerbation
d_3581,myasthenic syndromes diseases elsewhere
d_3589,myoneural disorders unspecified
d_3594,toxic myopathy
d_3596,percutaneous balloon valvuloplasty
d_35981,critical illness myopathy
d_35989,myopathies
d_3599,myopathy unspecified
d_36000,purulent endophthalmitis unspecified
d_3606,insertion non-drug-eluting coronary artery stents
d_3607,insertion drug-eluting coronary artery stents
d_3611,aortocoronary bypass coronary artery
d_3612,aortocoronary bypass two coronary arteries
d_3613,aortocoronary bypass three coronary arteries
d_3614,aortocoronary bypass four coronary arteries
d_3615,single internal mammary-coronary artery bypass
d_3616,double internal mammary-coronary artery bypass
d_3619,bypass anastomosis heart revascularization
d_3619,unspecified retinal detachment
d_36201,background diabetic retinopathy
d_36202,proliferative diabetic retinopathy
d_36210,background retinopathy unspecified
d_36221,retrolental fibroplasia
d_36230,retinal vascular occlusion unspecified
d_36231,central retinal artery occlusion
d_36234,transient retinal arterial occlusion
d_36250,macular degeneration senile unspecified
d_36274,pigmentary retinal dystrophy
d_36281,retinal hemorrhage
d_36320,chorioretinitis unspecified
d_3643,unspecified iridocyclitis
d_36563,glaucoma associated vascular disorders
d_36570,glaucoma stage unspecified
d_3659,unspecified glaucoma
d_3668,cataract
d_3669,unspecified cataract
d_36813,visual discomfort
d_36816,psychophysical visual disturbances
d_3682,diplopia
d_36840,visual field defect unspecified
d_36846,homonymous bilateral field defects
d_3688,specified visual disturbances
d_36900,profound impairment both eyes impairment level further spe
d_3693,unqualified visual loss both eyes
d_3694,legal blindness defined usa
d_36960,profound impairment eye impairment level further speci
d_3698,unqualified visual loss eye
d_3699,operations vessels heart
d_3699,unspecified visual loss
d_370,pericardiocentesis
d_37000,corneal ulcer unspecified
d_3712,pericardiotomy
d_37140,corneal degeneration unspecified
d_37200,acute conjunctivitis unspecified
d_37203,mucopurulent conjunctivitis
d_3721,right heart cardiac catheterization
d_3722,left heart cardiac catheterization
d_3723,combined right left heart cardiac catheterization
d_37230,conjunctivitis unspecified
d_37239,conjunctivitis
d_3724,biopsy pericardium
d_3725,biopsy heart
d_3726,catheter based invasive electrophysiologic testing
d_3727,cardiac mapping
d_37272,conjunctival hemorrhage
d_37273,conjunctival edema
d_3728,intracardiac echocardiography
d_3731,pericardiectomy
d_3732,excision aneurysm heart
d_3733,excision destruction lesion tissue heart open
d_3734,excision destruction lesion tissue heart endo
d_3736,excision destruction exclusion left atrial appendage la
d_37430,ptosis eyelid unspecified
d_3749,repair heart pericardium
d_37515,tear film insufficiency unspecified
d_3761,implant pulsation balloon
d_3762,insertion temporary non-implantable extracorporeal circulator
d_37630,exophthalmos unspecified
d_3764,removal external heart assist systems devices
d_3768,insertion percutaneous external heart assist device
d_37701,papilledema associated increased intracranial pressure
d_3771,initial insertion transvenous lead electrode ventricle
d_3772,initial insertion transvenous leads electrodes atrium
d_37730,optic neuritis unspecified
d_37739,optic neuritis
d_3774,insertion replacement epicardial lead electrode epi
d_37741,ischemic optic neuropathy
d_3775,revision lead electrode
d_3777,removal leads electrode replacement
d_37775,cortical blindness
d_3778,insertion temporary transvenous pacemaker system
d_3779,revision relocation cardiac device pocket
d_3781,initial insertion single-chamber device specified rat
d_37810,exotropia unspecified
d_3782,initial insertion single-chamber device rate responsive
d_3783,initial insertion dual-chamber device
d_37851,third oculomotor nerve palsy partial
d_37852,third oculomotor nerve palsy total
d_37854,sixth abducens nerve palsy
d_3787,replacement type pacemaker device dual-chamber devic
d_3789,unspecified disorder eye movements
d_3789,revision removal pacemaker device
d_3791,open chest cardiac massage
d_37923,vitreous hemorrhage
d_3794,implantation replacement automatic cardioverterdefibrilla
d_37941,anisocoria
d_37943,mydriasis persistent due mydriatics
d_3798,replacement automatic cardioverterdefibrillator pulse genera
d_3799,operations heart pericardium
d_37991,pain around eye
d_38010,infective otitis externa unspecified
d_3803,incision vessel upper limb vessels
d_3804,impacted cerumen
d_3804,incision vessel aorta
d_3806,incision vessel abdominal arteries
d_3807,incision vessel abdominal veins
d_3808,incision vessel lower limb arteries
d_3809,incision vessel lower limb veins
d_3812,endarterectomy vessels head neck
d_3814,endarterectomy aorta
d_3816,endarterectomy abdominal arteries
d_3818,endarterectomy lower limb arteries
d_3821,biopsy blood vessel
d_3822,percutaneous angioscopy
d_3829,unspecified otitis media
d_3844,resection vessel replacement aorta abdominal
d_3845,resection vessel replacement thoracic vessels
d_3846,resection vessel replacement abdominal arteries
d_38589,disorders middle ear mastoid
d_38600,mnires disease unspecified
d_38611,benign paroxysmal positional vertigo
d_38612,vestibular neuronitis
d_3867,excision vessels abdominal veins
d_387,interruption vena cava
d_3882,surgical occlusion vessels vessels head
d_3883,surgical occlusion vessels upper limb vessels
d_38830,tinnitus unspecified
d_3885,surgical occlusion vessels thoracic vessels
d_3886,surgical occlusion vessels abdominal arteries
d_38861,cerebrospinal fluid otorrhea
d_38869,otorrhea
d_3887,surgical occlusion vessels abdominal veins
d_3888,surgical occlusion vessels lower limb arteries
d_3889,surgical occlusion vessels lower limb veins
d_3891,arterial catheterization
d_38910,sensorineural hearing loss unspecified
d_3892,umbilical vein catheterization
d_3893,venous catheterization elsewhere
d_3894,venous cutdown
d_3895,venous catheterization renal dialysis
d_3897,central venous catheter placement guidance
d_3897,deaf nonspeaking elsewhere classifiable
d_3899,unspecified hearing loss
d_3899,puncture vein
d_391,intra-abdominal venous shunt
d_3911,acute rheumatic endocarditis
d_3922,aorta-subclavian-carotid bypass
d_3923,intrathoracic vascular shunt bypass
d_3924,aorta-renal bypass
d_3925,aorta-iliac-femoral bypass
d_3926,intra-abdominal vascular shunt bypass
d_3927,arteriovenostomy renal dialysis
d_3929,peripheral vascular shunt bypass
d_3931,suture artery
d_3932,suture vein
d_3940,mitral stenosis
d_3941,rheumatic mitral insufficiency
d_3941,control hemorrhage following vascular surgery
d_3942,revision arteriovenous shunt renal dialysis
d_3942,mitral stenosis insufficiency
d_3943,removal arteriovenous shunt renal dialysis
d_3949,revision vascular procedure
d_3950,angioplasty non-coronary vessels
d_3950,rheumatic aortic stenosis
d_3951,clipping aneurysm
d_3952,repair aneurysm
d_3952,rheumatic aortic stenosis insufficiency
d_3953,repair arteriovenous fistula
d_3956,repair blood vessel tissue patch graft
d_3957,repair blood vessel synthetic patch graft
d_3959,repair vessel
d_3960,mitral valve stenosis aortic valve stenosis
d_3961,mitral valve stenosis aortic valve insufficiency
d_3961,extracorporeal circulation auxiliary open heart surgery
d_3962,mitral valve insufficiency aortic valve stenosis
d_3962,hypothermia systemic incidental open heart surgery
